Name,FromYear,ToYear,Area,Type,Wikipedia,Wikidata,SeshatID,Components,MemberOf,CentroidLon,CentroidLat
Song,-750,-481,22944.158992377703,POLITY,Song (state),,,,(Spring and Autumn States),115.9141,34.7905
Teng,-750,-481,4224.530070260433,POLITY,Teng (state),,,,(Spring and Autumn States),116.6326,35.0846
Chen,-750,-481,4971.727588222698,POLITY,Chen (state),,,,(Spring and Autumn States),114.5037,34.5391
Wey,-750,-551,6979.345291404579,POLITY,Wey (state),,,,(Spring and Autumn States),114.9755,36.079
Cao,-750,-481,3839.7471467902633,POLITY,Cao (state),,,,(Spring and Autumn States),114.7457,35.3704
Lu,-750,-481,43470.04930716337,POLITY,Lu (state),,,,(Spring and Autumn States),118.1388,35.6917
Kingdom of Urartu,-750,-701,161552.14355469195,POLITY,Urartu,,tr_urartu_k,,,41.9402,39.5362
(Chu),-750,-701,353292.4864529284,POLITY,Chu (state),,,Chu,(Spring and Autumn States),113.585,32.1927
Zheng,-750,-451,5552.990150388655,POLITY,Zheng (state),,,,(Spring and Autumn States),113.9311,35.1043
Kingdom of Judah,-750,-701,4404.19393580718,POLITY,Kingdom of Judah,,,,,35.1563,31.6123
Cai,-750,-481,3733.2072897097473,POLITY,Cai (state),,,,(Spring and Autumn States),113.4874,34.622
Zhu,-750,-451,6449.24618360599,POLITY,Zhu (state),,,,(Spring and Autumn States),117.6028,35.3314
Yan,-750,-405,49598.941432790445,POLITY,Yan (state),,,,(Spring and Autumn States),118.0319,39.6852
Later Zhou,-750,-451,9655.823385826852,POLITY,Later Zhou,,,,(Spring and Autumn States),112.7278,35.0147
Xu,-750,-451,4786.4721408831165,POLITY,Xu (state),,,,(Spring and Autumn States),117.3286,34.754
Wu,-750,-551,193430.20533788725,POLITY,Wu (state),,,,(Spring and Autumn States),119.2829,31.8146
Phoenicia,-750,-676,28306.37771614926,POLITY,Phoenicia,,lb_phoenician_emp,,,19.3489,35.4489
Greek City-States,-750,-701,62558.31856615567,POLITY,Polis,,,,,24.6837,37.3571
Neo-Assyrian Empire,-700,-676,920410.5020226941,POLITY,Neo-Assyrian Empire,,iq_neo_assyrian_emp,,,41.1618,35.8912
Kingdom of Kush,-700,-676,563236.5717136585,POLITY,Kingdom of Kush,,sd_kush_k,,,31.9,22.6308
Elam,-700,-631,46046.26499295452,POLITY,Elam,,ir_neo_elam_2,,,49.2163,31.6367
Chu,-700,-481,353292.4864529284,POLITY,Chu (state),,cn_chu_dyn_spring_and_autumn,,(Chu);(Spring and Autumn States),113.585,32.1927
Phoenician Colonies,-700,-676,6352.106233311384,POLITY,Colonies in antiquity,,lb_phoenician_emp,,,1.6501,37.347
Phrygia,-700,-676,188102.33152804815,POLITY,Phrygia,,tr_phrygian_k,,,31.1763,39.5317
Hadhramaut,-700,-351,85919.41161885978,POLITY,Hadhramaut,,,,,49.1648,15.743
(Chu),-700,-481,353292.4864529284,POLITY,Chu (state),,cn_chu_dyn_spring_and_autumn,Chu,(Spring and Autumn States),113.585,32.1927
Lydia,-700,-676,24042.38459292446,POLITY,Lydia,,,,,27.9918,38.3381
Greek City-States,-700,-676,89502.43457383194,POLITY,Polis,,,,,23.6072,38.2942
Sabaeans,-700,-676,17090.171979478764,POLITY,Sabaeans,,ye_sabaean_commonwealth,,,45.0911,15.5793
Sabaeans,-675,-551,55243.10076667324,POLITY,Sabaeans,,ye_sabaean_commonwealth,,,43.9039,16.0865
Phoenicia,-675,-651,15445.055031284403,POLITY,Phoenicia,,lb_phoenician_emp,,,10.9262,35.4625
Greek City-States,-675,-651,89940.26086453335,POLITY,Polis,,,,,23.6237,38.2979
Lydia,-675,-651,24823.918481534674,POLITY,Lydia,,,,,28.0056,38.3534
(Macedonian Empire),-675,-551,2705.716791723406,POLITY,Macedonia (ancient kingdom),,,Macedonian Empire,,22.3554,40.4207
Phoenician Colonies,-675,-651,11441.1080280704,POLITY,Colonies in antiquity,,lb_phoenician_emp,,,4.8472,38.2313
Macedonian Empire,-675,-551,2705.716791723406,POLITY,Macedonia (ancient kingdom),,,,(Macedonian Empire),22.3554,40.4207
Neo-Assyrian Empire,-675,-616,1400805.5985948048,POLITY,Neo-Assyrian Empire,,iq_neo_assyrian_emp,,,38.0549,33.1265
Kingdom of Kush,-675,-651,336379.1560970084,POLITY,Kingdom of Kush,,sd_kush_k,,,32.8147,19.3983
Kingdom of Kush,-650,-631,336323.10582297307,POLITY,Kingdom of Kush,,,,,32.8149,19.3988
Olmec Civilization,-650,-367,17602.6378658469,POLITY,Olmecs,,,,,-94.2361,18.1592
(Carthage),-650,-631,3728.3914405799464,POLITY,Ancient Carthage,,tn_carthage_emp,Carthage,,10.4465,36.6518
Phoenician Colonies,-650,-631,14877.856753077649,POLITY,Colonies in antiquity,,lb_phoenician_emp,,,8.907,37.8059
Babylonia,-650,-631,134119.5352654185,POLITY,Babylonia,,,,,46.5674,31.6774
Etruscans,-650,-601,47556.470876850355,POLITY,Etruscan civilization,,,,,12.1099,42.8031
Carthage,-650,-631,3728.3914405799464,POLITY,Ancient Carthage,,tn_carthage_emp,,(Carthage),10.4465,36.6518
Lydia,-650,-631,98904.91101949888,POLITY,Lydia,,,,,28.8499,39.2062
Assyrian Egypt,-650,-631,1255844.2937508887,POLITY,Assyrian conquest of Egypt,,,,,37.2104,33.2596
Phoenicia,-650,-616,14816.315424713232,POLITY,Phoenicia,,lb_phoenician_emp,,,7.286,34.7745
Greek City-States,-650,-631,122466.49733206366,POLITY,Polis,,,,,25.2032,38.4514
(Carthage),-630,-501,12267.345574433812,POLITY,Ancient Carthage,,tn_carthage_emp,Carthage,,10.1623,36.4765
Phoenician Colonies,-630,-616,14877.856753077649,POLITY,Colonies in antiquity,,lb_phoenician_emp,,,8.907,37.8059
Kingdom of Kush,-630,337,336379.1560970084,POLITY,Kingdom of Kush,,,,,32.8147,19.3983
Greek City-States,-630,-616,137398.01409177887,POLITY,Polis,,,,,24.5416,38.3041
