Name,FromYear,ToYear,Area,Type,Wikipedia,Wikidata,SeshatID,Components,MemberOf,CentroidLon,CentroidLat
New Kingdom of Egypt,-1000,-901,340593.22038589965,POLITY,New Kingdom of Egypt,Q180568,,,,30.8116,27.3128
Kingdom of Israel,-1000,-901,20071.780092407385,POLITY,Kingdom of Israel (united monarchy),Q3185305,il_yisrael,,,35.7084,32.1623
Greek Dark Ages,-1000,-901,60722.01303110502,POLITY,Greek Dark Ages,Q210443,,,,25.1297,37.2114
Elam,-1000,-901,19287.536261736783,POLITY,Elam,Q128904,ir_elam_8,,,48.4206,32.2953
Assyria,-1000,-901,25472.951224122287,POLITY,Assyria,Q41137,iq_middle_assyrian_emp,,,44.0685,35.5581
Neo-Hittite states,-1000,-901,25034.003958266974,POLITY,Neo-Hittite states,Q770281,tr_neo_hittite_k,,,37.2014,36.9069
Phoenicia,-1000,-901,12958.482519368054,POLITY,Phoenicia,Q41642,lb_phoenician_emp,,(Phoenician Empire),35.9427,34.4262
Kingdom of Kush,-1000,-801,336378.97179939743,POLITY,Kingdom of Kush,Q241790,,,,32.8147,19.3984
Philistia,-1000,-901,7634.651395271475,POLITY,Philistia,Q7185566,,,,34.8657,31.9918
(Phoenician Empire),-1000,-901,12958.482519368054,POLITY,Phoenicia,Q41642,,Phoenicia,,35.9427,34.4262
Greek Dark Ages,-900,-801,60722.01303110502,POLITY,Greek Dark Ages,Q210443,,,,25.1297,37.2114
New Kingdom of Egypt,-900,-801,340593.22038589965,POLITY,New Kingdom of Egypt,Q180568,,,,30.8116,27.3128
Kingdom of Judah,-900,-801,3632.3319832969482,POLITY,Kingdom of Judah,Q48685,,,,35.231,31.6395
Phoenicia,-900,-801,14933.698897553093,POLITY,Phoenicia,Q41642,lb_phoenician_emp,,(Phoenician Empire),33.0491,34.3823
(Phoenician Empire),-900,-801,14933.698897553093,POLITY,Phoenicia,Q41642,,Phoenicia,,33.0491,34.3823
Tabal Kingdom,-900,-751,38587.13148898826,POLITY,Tabal (state),Q727710,tr_tabal_k,,,36.3013,37.6515
Elam,-900,-801,46091.76451131345,POLITY,Elam,Q128904,ir_elam_8,,,49.2125,31.6478
Kingdom of Israel,-900,-801,13720.977470689557,POLITY,Kingdom of Israel (united monarchy),Q3185305,il_yisrael,,,35.5717,32.5529
Philistia,-900,-751,3188.9790213329084,POLITY,Philistia,Q7185566,,,,34.8196,31.918
Neo-Hittite states,-900,-801,25034.003958266974,POLITY,Neo-Hittite states,Q770281,tr_neo_hittite_k,,,37.2014,36.9069
Neo-Assyrian Empire,-900,-801,250500.3148728035,POLITY,Neo-Assyrian Empire,Q10914393,iq_neo_assyrian_emp,,,42.2101,35.282
Phrygia,-900,-751,29488.257634327354,POLITY,Phrygia,Q32579,tr_phrygian_k,,,32.4234,39.5378
Babylonia,-900,-801,118947.91508953262,POLITY,Babylonia,Q47690,iq_dynasty_e,,,46.5248,31.4934
Zhou Dynasty,-800,-751,699623.2872120326,POLITY,Zhou dynasty,Q35216,cn_western_zhou_dyn,,,115.8664,35.3415
Kingdom of Urartu,-800,-751,53103.98089935511,POLITY,Urartu,Q185068,tr_urartu_k,,,43.986,39.3353
Kingdom of Judah,-800,-751,4404.193935807169,POLITY,Kingdom of Judah,Q48685,,,,35.1563,31.6123
Sabaeans,-800,-701,15043.526637371875,POLITY,Sabaeans,Q940785,ye_sabaean_commonwealth,,,44.9255,15.5535
Phoenicia,-800,-751,25425.179299740485,POLITY,Phoenicia,Q41642,lb_phoenician_emp,,(Phoenician Empire),22.6153,35.313
Greek City-States,-800,-751,58484.87446344054,POLITY,Polis,Q148837,,,,24.8239,37.2908
Kingdom of Kush,-800,-701,336731.1451620461,POLITY,Kingdom of Kush,Q241790,,,,32.8136,19.4031
Neo-Assyrian Empire,-800,-751,482045.4711993742,POLITY,Neo-Assyrian Empire,Q10914393,iq_neo_assyrian_emp,,,41.7746,35.5821
Kingdom of Israel,-800,-751,13389.527243385972,POLITY,Kingdom of Israel (united monarchy),Q3185305,il_yisrael,,,35.5653,32.5348
Elam,-800,-701,59563.873808869204,POLITY,Elam,Q128904,ir_neo_elam_1,,,48.9999,31.5769
(Phoenician Empire),-800,-751,25425.179299740485,POLITY,Phoenicia,Q41642,,Phoenicia,,22.6153,35.313
Twenty-third Dynasty of Egypt,-800,-751,61633.3225,POLITY,Twenty-third Dynasty of Egypt,Q748170,eg_thebes_libyan,,,31.0263,30.4097
Twenty-second Dynasty of Egypt,-800,-751,166127.90155902941,POLITY,Twenty-second Dynasty of Egypt,Q737629,eg_thebes_libyan,,,30.4837,25.8699
Jin,-750,-551,136495.40551245358,POLITY,Jin (Chinese state),Q6201794,cn_jin_spring_and_autumn,,(Spring and Autumn States),113.7964,36.9647
Chu,-750,-701,353292.4864529283,POLITY,Chu (state),Q504759,,,(Spring and Autumn States),113.585,32.1927
(Phoenician Empire),-750,-701,28357.095344493027,POLITY,Phoenicia,Q41642,,Phoenicia,,19.3774,35.4461
Tabal Kingdom,-750,-701,38587.13148898826,POLITY,Tabal (state),Q727710,tr_tabal_k,,,36.3013,37.6515
Kingdom of Israel,-750,-701,13389.527243385972,POLITY,Kingdom of Israel (united monarchy),Q3185305,il_yisrael,,,35.5653,32.5348
Qin,-750,-451,56477.88066636069,POLITY,Qin (state),Q1471995,,,(Spring and Autumn States),109.961,35.5622
Philistia,-750,-701,3190.236474,POLITY,Philistia,Q7185566,,,,34.8057,31.9061
Neo-Assyrian Empire,-750,-701,479763.8105571484,POLITY,Neo-Assyrian Empire,Q10914393,iq_neo_assyrian_emp,,,41.779,35.5688
Twenty-second Dynasty of Egypt,-750,-701,166127.90155902941,POLITY,Twenty-second Dynasty of Egypt,Q737629,eg_thebes_libyan,,,30.4837,25.8699
Phrygia,-750,-701,78628.26226151675,POLITY,Phrygia,Q32579,tr_phrygian_k,,,32.6321,40.4436
Etruscans,-750,-651,42547.808939615774,POLITY,Etruscan civilization,Q17161,,,,12.1864,42.6915
(Spring and Autumn States),-750,-551,1008534.3963654933,POLITY,Spring and Autumn Period,Q185047,,Teng;Qin;Zhu;Cai;Jin;Lu;Zheng;Xu;Yan;Cao;Wey;Qi;Song;Chen;Chu;Wu;Later Zhou,,115.5487,34.2543
Twenty-third Dynasty of Egypt,-750,-701,61633.3225,POLITY,Twenty-third Dynasty of Egypt,Q748170,eg_thebes_libyan,,,31.0263,30.4097
Roman Kingdom,-750,-701,858.8106751773288,POLITY,Roman Kingdom,Q201038,,,,12.2789,41.9836
Qi,-750,-551,102632.17941643945,POLITY,Qi (state),Q1143524,cn_qi_spring_autumn,,(Spring and Autumn States),118.5384,37.1079
Song,-750,-481,22944.158992377714,POLITY,Song (state),Q7462,,,(Spring and Autumn States),115.9141,34.7905
Teng,-750,-481,4224.530070260444,POLITY,Teng (state),Q1356151,,,(Spring and Autumn States),116.6326,35.0846
Chen,-750,-481,4971.727588222772,POLITY,Chen (state),Q1069690,,,(Spring and Autumn States),114.5037,34.5391
Wey,-750,-551,6979.345291404579,POLITY,Wey (state),Q1147897,,,(Spring and Autumn States),114.9755,36.079
Cao,-750,-481,3839.7471467902633,POLITY,Cao (state),Q204077,,,(Spring and Autumn States),114.7457,35.3704
Lu,-750,-481,43470.049307163594,POLITY,Lu (state),Q555994,,,(Spring and Autumn States),118.1388,35.6917
Kingdom of Urartu,-750,-701,160486.21180255097,POLITY,Urartu,Q185068,tr_urartu_k,,,41.9531,39.5437
Zheng,-750,-451,5552.990150388705,POLITY,Zheng (state),Q197598,,,(Spring and Autumn States),113.9311,35.1043
Kingdom of Judah,-750,-701,4404.193935807169,POLITY,Kingdom of Judah,Q48685,,,,35.1563,31.6123
Cai,-750,-481,3733.2072897097314,POLITY,Cai (state),Q1025803,,,(Spring and Autumn States),113.4874,34.622
Zhu,-750,-451,6449.246183606028,POLITY,Zhu (state),Q227007,,,(Spring and Autumn States),117.6028,35.3314
Yan,-750,-405,49598.941432790445,POLITY,Yan (state),Q1472004,,,(Spring and Autumn States),118.0319,39.6852
Later Zhou,-750,-451,9655.823385826896,POLITY,Later Zhou,Q1154556,,,(Spring and Autumn States),112.7278,35.0147
Xu,-750,-451,4786.472141,POLITY,Xu (state),Q2650109,,,(Spring and Autumn States),117.3286,34.754
Wu,-750,-551,193430.20533788743,POLITY,Wu (state),Q274488,,,(Spring and Autumn States),119.2829,31.8146
Phoenicia,-750,-676,28357.095344493027,POLITY,Phoenicia,Q41642,lb_phoenician_emp,,(Phoenician Empire),19.3774,35.4461
Greek City-States,-750,-701,64105.809261435774,POLITY,Polis,Q148837,,,,24.6346,37.3772
Neo-Assyrian Empire,-700,-676,920330.4213,POLITY,Neo-Assyrian Empire,Q10914393,iq_neo_assyrian_emp,,,41.1598,35.892
Kingdom of Kush,-700,-676,563236.5717136584,POLITY,Kingdom of Kush,Q241790,eg_kushite,,,31.9,22.6308
(Phoenician Empire),-700,-676,18139.31536,POLITY,Phoenicia,Q41642,,Phoenicia;Phoenician Colonies,,7.1353,36.6623
Elam,-700,-651,46072.34008450823,POLITY,Elam,Q128904,ir_neo_elam_2,,,49.2163,31.6357
Chu,-700,-481,353292.4864529283,POLITY,Chu (state),Q504759,cn_chu_dyn_spring_autumn,,(Spring and Autumn States),113.585,32.1927
Phoenician Colonies,-700,-676,6352.106233311332,POLITY,Colonies in antiquity,Q1094394,lb_phoenician_emp,,(Phoenician Empire),1.6501,37.347
Roman Kingdom,-700,-501,858.8106751773288,POLITY,Roman Kingdom,Q201038,it_roman_k,,,12.2789,41.9836
Phrygia,-700,-676,188102.3315280479,POLITY,Phrygia,Q32579,tr_phrygian_k,,,31.1763,39.5317
Hadhramaut,-700,-351,85919.41161885991,POLITY,Hadhramaut,Q1517159,,,,49.1648,15.743
Lydia,-700,-676,24042.384592924438,POLITY,Lydia,Q620765,,,,27.9918,38.3381
Greek City-States,-700,-676,91049.92526911218,POLITY,Polis,Q148837,,,,23.5912,38.2923
Sabaeans,-700,-676,17090.171979478746,POLITY,Sabaeans,Q940785,ye_sabaean_commonwealth,,,45.0911,15.5793
Sabaeans,-675,-551,55243.100766673226,POLITY,Sabaeans,Q940785,ye_sabaean_commonwealth,,,43.9039,16.0865
Phoenicia,-675,-651,15496.144223854977,POLITY,Phoenicia,Q41642,lb_phoenician_emp,,(Phoenician Empire),10.9332,35.4542
Greek City-States,-675,-651,91487.75155981355,POLITY,Polis,Q148837,,,,23.6075,38.2959
Lydia,-675,-651,24823.918481534638,POLITY,Lydia,Q620765,,,,28.0056,38.3534
(Macedonian Empire),-675,-551,2705.716791723374,POLITY,Macedonia (ancient kingdom),Q83958,,Macedonian Empire,,22.3554,40.4207
Phoenician Colonies,-675,-651,11441.108028070346,POLITY,Colonies in antiquity,Q1094394,lb_phoenician_emp,,(Phoenician Empire),4.8472,38.2313
(Phoenician Empire),-675,-651,26937.252251925325,POLITY,Phoenicia,Q41642,,Phoenicia;Phoenician Colonies,,8.2951,36.658
Macedonian Empire,-675,-551,2705.716791723374,POLITY,Macedonia (ancient kingdom),Q83958,,,(Macedonian Empire),22.3554,40.4207
Neo-Assyrian Empire,-675,-616,1400725.517837298,POLITY,Neo-Assyrian Empire,Q10914393,iq_neo_assyrian_emp,,,38.0535,33.1269
Kingdom of Kush,-675,-651,336379.15609700844,POLITY,Kingdom of Kush,Q241790,eg_kushite,,,32.8147,19.3983
Kingdom of Kush,-650,-631,336323.1058229731,POLITY,Kingdom of Kush,Q241790,,,,32.8149,19.3988
Olmec Civilization,-650,-367,17602.637865846922,POLITY,Olmecs,Q135364,,,,-94.2361,18.1592
Elam,-650,-631,45888.04899421221,POLITY,Elam,Q128904,ir_neo_elam_2,,,49.2179,31.6422
(Phoenician Empire),-650,-616,29745.261370361426,POLITY,Phoenicia,Q41642,,Phoenicia;Phoenician Colonies,,8.1219,36.3166
Scythia,-650,-551,1687900.0354225317,POLITY,Scythians,Q131802,,,,41.4169,47.8981
Phoenician Colonies,-650,-631,14877.856753077594,POLITY,Colonies in antiquity,Q1094394,lb_phoenician_emp,,(Phoenician Empire),8.907,37.8059
Babylonia,-650,-631,133937.46238721383,POLITY,Babylonia,Q47690,,,,46.5651,31.6797
Etruscans,-650,-601,46674.54984893271,POLITY,Etruscan civilization,Q17161,,,,12.1098,42.816
Carthage,-650,-631,3728.3914405799464,POLITY,Ancient Carthage,Q2429397,tn_carthage_emp,,,10.4465,36.6518
Lydia,-650,-631,98904.91101949876,POLITY,Lydia,Q620765,,,,28.8499,39.2062
Assyrian Egypt,-650,-631,1255946.2858715882,POLITY,Assyrian conquest of Egypt,Q97357417,,,,37.2102,33.2596
Phoenicia,-650,-616,14867.404617283835,POLITY,Phoenicia,Q41642,lb_phoenician_emp,,(Phoenician Empire),7.3056,34.7681
