Babylonia (Isin Dynasty)	OK	tiles=5; rows=19; 4 continuity gap(s)	2026-08-17T11:39:32
Gilead	OK	tiles=1; rows=2; 1 continuity gap(s)	2026-08-17T11:39:39
Geshur	OK	tiles=1; rows=1	2026-08-17T11:39:46
Aram-Zobah	OK	tiles=1; rows=5; 4 continuity gap(s)	2026-08-17T11:39:52
Aram Damascus	OK	tiles=4; rows=45; 19 continuity gap(s)	2026-08-17T11:39:59
Aram-Naharim	OK	tiles=1; rows=1	2026-08-17T11:40:06
Kadmuhu	OK	tiles=2; rows=1	2026-08-17T11:40:13
Libyans	OK	tiles=7; rows=12	2026-08-17T11:40:20
Suhu	OK	tiles=1; rows=5; 4 continuity gap(s)	2026-08-17T11:40:27
Hindanu	OK	tiles=4; rows=5; 3 continuity gap(s)	2026-08-17T11:40:34
Achaeans	OK	tiles=2; rows=4; 2 continuity gap(s)	2026-08-17T11:40:41
Rebel Israelites	OK	tiles=1; rows=1	2026-08-17T11:40:48
Laqe	OK	tiles=4; rows=3; 2 continuity gap(s)	2026-08-17T11:40:54
Bit-Adini	OK	tiles=1; rows=4; 3 continuity gap(s)	2026-08-17T11:41:01
Bit-Halupe	OK	tiles=2; rows=1	2026-08-17T11:41:08
Bit-Bahiani	OK	tiles=2; rows=1	2026-08-17T11:41:15
Nubia	OK	tiles=9; rows=1	2026-08-17T11:41:21
Egypt: Tanites	OK	tiles=2; rows=19	2026-08-17T11:41:29
Kingdom of Israel	OK	tiles=4; rows=32; 1 warning(s): WARNING: Judah row -993.5..-931.6 has conflicting colorIndex among contributing entries; 6 continuity gap(s)	2026-08-17T11:41:36
Bit-Zamani	OK	tiles=2; rows=2; 1 continuity gap(s)	2026-08-17T11:41:43
Philistia	OK	tiles=2; rows=17; 8 continuity gap(s)	2026-08-17T11:41:50
Kingdom of Judah	OK	tiles=2; rows=3; 1 continuity gap(s)	2026-08-17T11:41:56
Babylonia	OK	tiles=15; rows=17; 3 continuity gap(s)	2026-08-17T11:42:03
Saharan Peoples	OK	tiles=35; rows=7	2026-08-17T11:42:10
West African Peoples	OK	tiles=18; rows=4	2026-08-17T11:42:16
Proto-Ethiopians	OK	tiles=6; rows=2	2026-08-17T11:42:23
Khoisan Peoples	OK	tiles=34; rows=1	2026-08-17T11:42:29
Central African Peoples	OK	tiles=25; rows=39	2026-08-17T11:42:37
East African Peoples	OK	tiles=9; rows=3	2026-08-17T11:42:44
Western Mediterraneans	OK	tiles=18; rows=18	2026-08-17T11:42:50
Bell Beaker Peoples	OK	tiles=13; rows=1	2026-08-17T11:42:57
Indus Valley Civilization	OK	tiles=8; rows=1	2026-08-17T11:43:04
Helmand and Jiroft Cultures	OK	tiles=6; rows=25	2026-08-17T11:43:11
Dravidians	OK	tiles=17; rows=30	2026-08-17T11:43:18
Proto-Tibetans	OK	tiles=13; rows=6	2026-08-17T11:43:25
Aboriginal Peoples	OK	tiles=78; rows=29	2026-08-17T11:43:34
Austro-Asiatic Peoples	OK	tiles=14; rows=2	2026-08-17T11:43:40
