Index,Name,FromYear,ToYear,Area,Type,References,MemberOf,FullPath,Region,Subregion,ColorR,ColorG,ColorB,Generated,SourceRun,OverlapNote,geometry
284,Phanagoria,-544.5,-480.5,211.6,POLITY,,(Ionians),Ionians - Phanagoria,Central and Northern Eurasia,Siberia,240,197,237,2026-08-21,Ionians,,"POLYGON ((36.868 45.2398, 36.8733 45.2284, 36.88 45.2178, 36…"
285,Phocaea,-525.5,-389.5,531.5,POLITY,,(Ionians),Ionians - Phocaea,Europe,Western Europe,240,197,232,2026-08-21,Ionians,,"MULTIPOLYGON (((3.1154 42.2336, 3.111028 42.21953, 3.105444 …"
286,Agatha,-525.5,-1.0,148.7,POLITY,,(Phocaea),Ionians - Phocaea - Agatha,Europe,Western Europe,240,198,226,2026-08-21,Ionians,,"POLYGON ((3.571694 43.33595, 3.5661 43.3426, 3.562417 43.349…"
287,Emporion,-575.5,-1.0,191.8,POLITY,,(Phocaea),Ionians - Phocaea - Emporion,Europe,Southern Europe,240,197,233,2026-08-21,Ionians,,"POLYGON ((3.1083 42.2332, 3.0958 42.2317, 3.0836 42.2285, 3.…"
288,Massalia,-600.5,-389.5,191.0,POLITY,,(Phocaea),Ionians - Phocaea - Massalia,Europe,Western Europe,240,197,232,2026-08-21,Ionians,,"POLYGON ((5.4462 43.2198, 5.4554 43.2284, 5.4634 43.2381, 5.…"
289,Prepesinthos,-1040.5,-469.5,6.8,POLITY,,(Ionians),Ionians - Prepesinthos,Europe,Southern Europe,240,193,225,2026-08-21,Ionians,,"POLYGON ((25.00378 36.97525, 25.00864 36.97434, 25.01206 36.…"
290,Schinoussa,-1040.5,-469.5,9.2,POLITY,,(Ionians),Ionians - Schinoussa,Europe,Southern Europe,240,194,234,2026-08-21,Ionians,,"POLYGON ((25.52567 36.84075, 25.52797 36.84511, 25.52922 36.…"
291,Seriphos,-1040.5,-480.9,76.5,POLITY,,(Ionians),Ionians - Seriphos,Europe,Southern Europe,240,192,239,2026-08-21,Ionians,,"POLYGON ((24.46317 37.2007, 24.46495 37.20578, 24.47014 37.2…"
292,Siphnos,-1040.5,-480.9,74.3,POLITY,,(Ionians),Ionians - Siphnos,Europe,Southern Europe,240,193,224,2026-08-21,Ionians,,"POLYGON ((24.70542 36.9092, 24.71708 36.91494, 24.71992 36.9…"
293,Syros,-1040.5,-469.5,83.7,POLITY,,(Ionians),Ionians - Syros,Europe,Southern Europe,240,192,237,2026-08-21,Ionians,,"POLYGON ((24.88509 37.36506, 24.89828 37.37561, 24.90575 37.…"
294,Thasos,-651.5,-492.3,381.7,POLITY,,(Ionians),Ionians - Thasos,Europe,Southern Europe,240,196,237,2026-08-21,Ionians,,"MULTIPOLYGON (((24.782 40.66659, 24.78686 40.67356, 24.79008…"
295,Zancle,-723.5,-494.2,185.0,POLITY,,(Ionians),Ionians - Zancle,Europe,Southern Europe,240,195,235,2026-08-21,Ionians,,"POLYGON ((15.49389 38.27973, 15.516 38.29514, 15.53122 38.30…"
