Index,Name,FromYear,ToYear,Area,Type,References,MemberOf,ColorR,ColorG,ColorB,Generated,SourceRun,geometry
78,Daunians,-320.4,-318.5,0.0,TRIBAL_AREA,,(Roman Ally),248,209,113,2026-08-16,Roman Ally,POINT (15.5672 41.6942)
79,Falerii,-342.8,-338.5,161.0,POLITY,,(Roman Ally),248,208,117,2026-08-16,Roman Ally,"POLYGON ((12.443 42.19795, 12.44375 42.20458, 12.44267 42.21…"
80,Frentani,-304.5,-1.0,3566.1,POLITY,,(Roman Ally),248,209,121,2026-08-16,Roman Ally,"POLYGON ((15.29244 41.92278, 15.28786 41.914, 15.28042 41.91…"
81,Heraclea (Lucania),-278.3,-1.0,370.4,POLITY,,(Roman Ally),248,210,120,2026-08-16,Roman Ally,"POLYGON ((16.7781 40.2957, 16.77211 40.28684, 16.758 40.2679…"
82,Hernici,-486.5,-389.9,1015.4,POLITY,,(Roman Ally),248,208,113,2026-08-16,Roman Ally,"POLYGON ((13.1307 41.8955, 13.1486 41.8893, 13.1817 41.8645,…"
83,Hernici,-358.6,-307.5,1015.4,POLITY,,(Roman Ally),248,208,113,2026-08-16,Roman Ally,"POLYGON ((13.1307 41.8955, 13.1486 41.8893, 13.1817 41.8645,…"
84,Hernici,-306.6,-1.0,1015.4,POLITY,,(Roman Ally),248,208,113,2026-08-16,Roman Ally,"POLYGON ((13.1307 41.8955, 13.1486 41.8893, 13.1817 41.8645,…"
85,Hirpini,-267.5,-1.0,1720.4,POLITY,,(Roman Ally),248,211,113,2026-08-16,Roman Ally,"POLYGON ((15.2631 41.0372, 15.2631 41.0404, 15.2724 41.059, …"
86,Kamarina,-263.3,-258.3,942.8,POLITY,,(Roman Ally),248,211,126,2026-08-16,Roman Ally,"POLYGON ((14.4027 36.9355, 14.4057 36.9373, 14.4158 36.9447,…"
87,Kingdom of Syracuse,-263.3,-1.0,3256.5,POLITY,,(Roman Ally),248,211,123,2026-08-16,Roman Ally,"MULTIPOLYGON (((15.11275 36.81486, 15.10739 36.8052, 15.1009…"
88,Kingdom of Syracuse,-262.1,-261.6,1988.1,TRANSIENT,,(Roman Ally),248,211,127,2026-08-16,Roman Ally,"POLYGON ((15.0773 36.632, 15.1547 36.6406, 15.2206 36.6921, …"
89,Naval expedition,-262.1,-261.6,1988.1,TRANSIENT,,(Kingdom of Syracuse),248,211,127,2026-08-16,Roman Ally,"POLYGON ((15.0773 36.632, 15.1547 36.6406, 15.2206 36.6921, …"
90,Tauromenion,-263.3,-1.0,696.3,POLITY,,(Kingdom of Syracuse),248,211,124,2026-08-16,Roman Ally,"POLYGON ((15.21139 37.73817, 15.1898 37.7378, 15.1539 37.746…"
91,Locri,-277.4,-276.1,879.0,POLITY,,(Roman Ally),248,210,122,2026-08-16,Roman Ally,"POLYGON ((16.58731 38.45781, 16.5734 38.4545, 16.5492 38.460…"
92,Locri,-273.5,-1.0,879.0,POLITY,,(Roman Ally),248,210,122,2026-08-16,Roman Ally,"POLYGON ((16.58731 38.45781, 16.5734 38.4545, 16.5492 38.460…"
93,Lucanians,-298.6,-283.5,27003.4,TRIBAL_AREA,,(Roman Ally),248,210,112,2026-08-16,Roman Ally,"POLYGON ((16.61806 39.99536, 16.62508 39.97811, 16.63464 39.…"
94,Lucanians,-267.5,-1.0,16046.1,TRIBAL_AREA,,(Roman Ally),248,210,112,2026-08-16,Roman Ally,"POLYGON ((16.61806 39.99536, 16.62508 39.97811, 16.63464 39.…"
95,Mamertines,-263.3,-1.0,800.7,POLITY,,(Roman Ally),248,211,125,2026-08-16,Roman Ally,"POLYGON ((15.1664 38.1527, 15.17167 38.15534, 15.21078 38.18…"
96,Marrucini,-304.5,-1.0,524.2,POLITY,,(Roman Ally),248,209,123,2026-08-16,Roman Ally,"POLYGON ((14.22514 42.47153, 14.22022 42.47045, 14.21883 42.…"
