Search Term,Date From,Date To,Center Lat,Center Lon,WHE 1,WHE 2,Wiki 1,Wiki 2
hapalla,-1396,-1386,37.5,32.5,,,https://en.wikipedia.org/wiki/Hapalla,
harhar,-970,-737,32.5,46.2,,,https://en.wikipedia.org/wiki/Harhar,
harshi,-1986,-1600,34.9,45.0,,,https://en.wikipedia.org/wiki/Harshi,
hattians,-2199,-1862,38.2,34.7,,,https://en.wikipedia.org/wiki/Hattians,
hellenic league,-323,-322,37.8,23.1,,,https://en.wikipedia.org/wiki/Hellenic_League,
helmand and jiroft cultures,-2400,-1750,30.3,62.4,,,https://en.wikipedia.org/wiki/Helmand_And_Jiroft_Cultures,
helot revolt,-466,-457,37.5,22.5,,,https://en.wikipedia.org/wiki/Helot_Revolt,
heraklea pontica,-274,-1,42.5,33.0,,,https://en.wikipedia.org/wiki/Heraklea_Pontica,
hermionis,-780,-670,37.5,22.5,,,https://en.wikipedia.org/wiki/Hermionis,
hernici,-600,-359,42.5,15.0,,,https://en.wikipedia.org/wiki/Hernici,
hilakku,-836,-636,37.5,32.5,,,https://en.wikipedia.org/wiki/Hilakku,
himera,-472,-409,37.5,13.5,https://www.worldhistory.org/Himera/,,https://en.wikipedia.org/wiki/Himera,
hindanu,-1120,-612,34.2,40.8,,,https://en.wikipedia.org/wiki/Hindanu,
hittites,-2050,-1180,38.6,33.1,https://www.worldhistory.org/hittite/,,https://en.wikipedia.org/wiki/Hittites,
honduras,1990,,15.0,-85.0,,,https://en.wikipedia.org/wiki/Honduras,
hu,-770,-496,32.5,117.5,https://www.worldhistory.org/Hu/,,https://en.wikipedia.org/wiki/Hu,
hu(2),-770,-764,32.5,112.5,,,https://en.wikipedia.org/wiki/Hu(2),
hu(3),-770,-764,32.5,112.5,,,https://en.wikipedia.org/wiki/Hu(3),
hua,-770,-627,32.5,112.5,https://www.worldhistory.org/Hua/,,https://en.wikipedia.org/wiki/Hua,
huaiyi,-770,-512,34.1,119.2,,,https://en.wikipedia.org/wiki/Huaiyi,
huaiyi peoples,-1500,-584,32.5,119.4,,,https://en.wikipedia.org/wiki/Huaiyi_Peoples,
huang,-770,-648,32.5,114.2,,,https://en.wikipedia.org/wiki/Huang,
hubushkia,-864,-698,37.5,42.5,,,https://en.wikipedia.org/wiki/Hubushkia,
huo,-770,-662,37.5,112.5,,,https://en.wikipedia.org/wiki/Huo,
hupis(h)na,-827,-738,37.5,32.5,,,https://en.wikipedia.org/wiki/Hupis(h)na,
hurrian kingdom,-1616,-1346,37.5,40.4,,,https://en.wikipedia.org/wiki/Hurrian_Kingdom,
hurrian kingdoms,-2218,-1826,37.5,41.7,,,https://en.wikipedia.org/wiki/Hurrian_Kingdoms,
hurrians,-2400,-864,37.4,41.4,https://www.worldhistory.org/Hurrians/,,https://en.wikipedia.org/wiki/Hurrians,
iapygii,-500,-318,42.5,15.0,,,https://en.wikipedia.org/wiki/Iapygii,
iberians,-1725,-1,41.2,1.6,,,https://en.wikipedia.org/wiki/Iberians,
idamaraz,-1742,-1616,35.4,42.5,,,https://en.wikipedia.org/wiki/Idamaraz,
ikshvakus,-364,-362,27.5,82.5,,,https://en.wikipedia.org/wiki/Ikshvakus,
illyrian kingdom,-279,-1,42.0,21.1,,,https://en.wikipedia.org/wiki/Illyrian_Kingdom,
illyrian tributary,-372,-370,42.5,21.0,,,https://en.wikipedia.org/wiki/Illyrian_Tributary,
illyrians,-1725,-1,42.7,18.6,,,https://en.wikipedia.org/wiki/Illyrians,
illyrioi,-500,-1,42.5,15.0,,,https://en.wikipedia.org/wiki/Illyrioi,
imbros,-282,-1,42.5,27.0,,,https://en.wikipedia.org/wiki/Imbros,
indo-aryans,-1500,-300,25.8,75.8,,,https://en.wikipedia.org/wiki/Indo-Aryans,
indus valley civilization,-2400,-1750,23.4,69.0,https://www.worldhistory.org/Indus_Valley_Civilization/,,https://en.wikipedia.org/wiki/Indus_Valley_Civilization,
indus valley peoples,-1750,-775,25.2,69.7,,,https://en.wikipedia.org/wiki/Indus_Valley_Peoples,
ionian league,-690,-478,38.3,27.5,https://www.worldhistory.org/Ionian_League/,,https://en.wikipedia.org/wiki/Ionian_League,
ionians,-1202,-1,39.6,24.9,,,https://en.wikipedia.org/wiki/Ionians,
iranians,-2400,-532,39.7,62.6,,,https://en.wikipedia.org/wiki/Iranians,
ishtu(a)nda,-827,-738,37.5,37.5,,,https://en.wikipedia.org/wiki/Ishtu(a)nda,
israel/samaria,-932,-720,32.5,36.9,,,https://en.wikipedia.org/wiki/Israel/samaria,
israelites,-1230,-1036,32.4,36.7,,,https://en.wikipedia.org/wiki/Israelites,
istros,-360,-314,44.1,27.0,,,https://en.wikipedia.org/wiki/Istros,
isuwa,-1506,-1460,37.5,40.0,,,https://en.wikipedia.org/wiki/Isuwa,
itabalhum,-1850,-1600,37.5,45.0,,,https://en.wikipedia.org/wiki/Itabalhum,
italics,-2050,-450,42.1,14.5,,,https://en.wikipedia.org/wiki/Italics,
italiote league,-430,-280,40.2,16.4,,,https://en.wikipedia.org/wiki/Italiote_League,
jamaica,1990,,17.5,-77.5,,,https://en.wikipedia.org/wiki/Jamaica,
ji,-770,-658,37.5,112.5,,,https://en.wikipedia.org/wiki/Ji,
ji(2),-770,-690,37.5,117.5,,,https://en.wikipedia.org/wiki/Ji(2),
ji(3),-770,-722,34.9,117.5,,,https://en.wikipedia.org/wiki/Ji(3),
ji(4),-770,-750,32.5,112.5,,,https://en.wikipedia.org/wiki/Ji(4),
ji(5),,,40.0,117.0,,,https://en.wikipedia.org/wiki/Ji(5),
ji(6),-771,-688,32.5,107.5,https://www.worldhistory.org/Ji(6)/,,https://en.wikipedia.org/wiki/Ji(6),
jia,-770,-678,37.5,112.5,https://www.worldhistory.org/Jia/,,https://en.wikipedia.org/wiki/Jia,
jiang,-770,-624,32.5,112.5,,,https://en.wikipedia.org/wiki/Jiang,
jiang qi,-481,-386,37.5,117.5,,,https://en.wikipedia.org/wiki/Jiang_Qi,
jiang(2),-770,-618,32.5,117.5,,,https://en.wikipedia.org/wiki/Jiang(2),
jiao,-770,-700,32.5,112.5,,,https://en.wikipedia.org/wiki/Jiao,
jie,-770,-600,37.5,117.5,,,https://en.wikipedia.org/wiki/Jie,
jin,-770,-678,36.0,112.5,https://www.worldhistory.org/Jin/,,https://en.wikipedia.org/wiki/Jin,
jomon culture,-2400,-1,35.9,137.3,,,https://en.wikipedia.org/wiki/Jomon_Culture,
ju,-770,-432,36.8,117.8,https://www.worldhistory.org/Ju/,,https://en.wikipedia.org/wiki/Ju,
ju(2),-771,-550,32.5,107.5,,,https://en.wikipedia.org/wiki/Ju(2),
judah,-932,-587,32.2,35.6,https://www.worldhistory.org/Judah/,,https://en.wikipedia.org/wiki/Judah,
judah tributary,-794,-736,30.4,35.5,,,https://en.wikipedia.org/wiki/Judah_Tributary,
jun,-770,-612,32.5,110.8,https://www.worldhistory.org/Jun/,,https://en.wikipedia.org/wiki/Jun,
kaccha,-610,-318,22.5,70.0,,,https://en.wikipedia.org/wiki/Kaccha,
kadmuhu,-1136,-1112,37.5,40.0,,,https://en.wikipedia.org/wiki/Kadmuhu,
kalama,-610,-518,27.5,82.5,,,https://en.wikipedia.org/wiki/Kalama,
kalasma,-1324,-1322,37.5,37.5,,,https://en.wikipedia.org/wiki/Kalasma,
kalaurian amphictiony,-670,-494,37.5,22.5,,,https://en.wikipedia.org/wiki/Kalaurian_Amphictiony,
kalinga,-700,262,19.5,83.8,,,https://en.wikipedia.org/wiki/Kalinga,
kamarina,-466,-405,37.5,12.5,,,https://en.wikipedia.org/wiki/Kamarina,
kamboja,-700,-536,34.6,70.3,,,https://en.wikipedia.org/wiki/Kamboja,
kappadokia,-330,-1,38.9,35.9,,,https://en.wikipedia.org/wiki/Kappadokia,
karakhar,-2072,-1168,32.5,47.5,,,https://en.wikipedia.org/wiki/Karakhar,
karalla,-718,-706,37.5,47.5,,,https://en.wikipedia.org/wiki/Karalla,
karmania,-330,-325,30.4,56.5,,,https://en.wikipedia.org/wiki/Karmania,
karusha,-610,-302,22.5,82.5,,,https://en.wikipedia.org/wiki/Karusha,
kasheyas,-364,-364,24.9,82.5,,,https://en.wikipedia.org/wiki/Kasheyas,
kasi,-850,-600,25.8,82.5,,,https://en.wikipedia.org/wiki/Kasi,
kaskas,-1600,-712,41.4,35.5,,,https://en.wikipedia.org/wiki/Kaskas,
kasmira,-500,-1,34.9,75.0,,,https://en.wikipedia.org/wiki/Kasmira,
kassites,-2100,-1618,33.5,46.1,https://www.worldhistory.org/Kassites/,,https://en.wikipedia.org/wiki/Kassites,
kekaya,-950,-516,32.5,72.5,,,https://en.wikipedia.org/wiki/Kekaya,
khoisan peoples,-2400,-1,-16.8,27.1,,,https://en.wikipedia.org/wiki/Khoisan_Peoples,
khorasmia,-330,-1,40.6,59.4,,,https://en.wikipedia.org/wiki/Khorasmia,
kimash,-1752,-1600,32.5,47.5,,,https://en.wikipedia.org/wiki/Kimash,
kingdom of adab,-2354,-2253,31.9,47.0,,,https://en.wikipedia.org/wiki/Kingdom_Of_Adab,
kingdom of adanaya,-1850,-1518,37.5,35.0,,,https://en.wikipedia.org/wiki/Kingdom_Of_Adanaya,
kingdom of akshak,-2372,-2284,33.3,43.0,,,https://en.wikipedia.org/wiki/Kingdom_Of_Akshak,
kingdom of alakhtum,-2218,-2200,37.5,37.5,,,https://en.wikipedia.org/wiki/Kingdom_Of_Alakhtum,
kingdom of andarig,-1826,-1726,37.5,42.5,,,https://en.wikipedia.org/wiki/Kingdom_Of_Andarig,
kingdom of argos,-780,-494,37.5,22.5,,,https://en.wikipedia.org/wiki/Kingdom_Of_Argos,
kingdom of armenia,-323,-1,38.9,41.1,,,https://en.wikipedia.org/wiki/Kingdom_Of_Armenia,
kingdom of arrapha,-1726,-760,37.5,44.5,,,https://en.wikipedia.org/wiki/Kingdom_Of_Arrapha,
kingdom of assyria,-1920,-906,36.4,42.4,,,https://en.wikipedia.org/wiki/Kingdom_Of_Assyria,
kingdom of awan,-2286,-1170,31.1,50.6,,,https://en.wikipedia.org/wiki/Kingdom_Of_Awan,
kingdom of babylon,-1898,-1596,32.8,44.8,,,https://en.wikipedia.org/wiki/Kingdom_Of_Babylon,
kingdom of carchemish,-1190,-606,37.5,37.5,,,https://en.wikipedia.org/wiki/Kingdom_Of_Carchemish,
kingdom of cyrene,-632,-1,33.1,20.7,https://www.worldhistory.org/Kingdom_Of_Cyrene/,,https://en.wikipedia.org/wiki/Kingdom_Of_Cyrene,
kingdom of der,-2019,-1228,32.5,46.1,,,https://en.wikipedia.org/wiki/Kingdom_Of_Der,
kingdom of ebla,-2380,-2000,35.6,38.6,,,https://en.wikipedia.org/wiki/Kingdom_Of_Ebla,
kingdom of epirus,-330,-1,39.4,19.5,,,https://en.wikipedia.org/wiki/Kingdom_Of_Epirus,
kingdom of eshnunna,-2026,-1730,34.0,43.8,,,https://en.wikipedia.org/wiki/Kingdom_Of_Eshnunna,
kingdom of hamath,-1180,-606,35.3,37.5,,,https://en.wikipedia.org/wiki/Kingdom_Of_Hamath,
kingdom of illyria,-400,-1,41.6,20.9,,,https://en.wikipedia.org/wiki/Kingdom_Of_Illyria,
kingdom of irqata,-2279,-2198,34.9,37.5,,,https://en.wikipedia.org/wiki/Kingdom_Of_Irqata,
kingdom of isin,-2018,-1795,32.7,46.7,,,https://en.wikipedia.org/wiki/Kingdom_Of_Isin,
kingdom of israel,-1036,-932,32.2,36.2,https://www.worldhistory.org/Kingdom_of_Israel/,,https://en.wikipedia.org/wiki/Kingdom_Of_Israel,
kingdom of judah,-1004,-1004,32.5,36.5,,,https://en.wikipedia.org/wiki/Kingdom_Of_Judah,
kingdom of kanesh,-1850,-1648,38.2,36.3,,,https://en.wikipedia.org/wiki/Kingdom_Of_Kanesh,
kingdom of kazallu,-2020,-1790,32.5,44.5,,,https://en.wikipedia.org/wiki/Kingdom_Of_Kazallu,
kingdom of kish,-2380,-1839,33.0,43.9,,,https://en.wikipedia.org/wiki/Kingdom_Of_Kish,
kingdom of kisurra,-2138,-2112,32.5,47.5,,,https://en.wikipedia.org/wiki/Kingdom_Of_Kisurra,
kingdom of kummuh,-1190,-607,37.5,37.5,,,https://en.wikipedia.org/wiki/Kingdom_Of_Kummuh,
kingdom of kush,-1776,-1,29.0,32.3,https://www.worldhistory.org/Kush/,,https://en.wikipedia.org/wiki/Kingdom_Of_Kush,
kingdom of kussara,-1800,-1676,38.3,36.1,,,https://en.wikipedia.org/wiki/Kingdom_Of_Kussara,
kingdom of lagash,-2340,-1920,32.5,48.2,,,https://en.wikipedia.org/wiki/Kingdom_Of_Lagash,
kingdom of larsa,-2270,-1736,32.5,46.4,,,https://en.wikipedia.org/wiki/Kingdom_Of_Larsa,
kingdom of lysimakhos,-306,-281,40.0,26.3,,,https://en.wikipedia.org/wiki/Kingdom_Of_Lysimakhos,
kingdom of macedon,-650,-301,36.1,34.5,https://www.worldhistory.org/Kingdom_Of_Macedon/,,https://en.wikipedia.org/wiki/Kingdom_Of_Macedon,
kingdom of macedonia,-277,-1,39.5,22.8,,,https://en.wikipedia.org/wiki/Kingdom_Of_Macedonia,
kingdom of malgium,-1936,-1846,32.5,45.0,,,https://en.wikipedia.org/wiki/Kingdom_Of_Malgium,
kingdom of mari,-2311,-2190,34.3,41.7,,,https://en.wikipedia.org/wiki/Kingdom_Of_Mari,
kingdom of melid,-1190,-626,37.5,37.5,,,https://en.wikipedia.org/wiki/Kingdom_Of_Melid,
kingdom of mitanni,-1586,-1344,37.2,38.5,,,https://en.wikipedia.org/wiki/Kingdom_Of_Mitanni,
kingdom of purushanda,-1776,-1627,37.5,35.0,,,https://en.wikipedia.org/wiki/Kingdom_Of_Purushanda,
kingdom of qadesh,-1362,-1336,34.9,37.5,,,https://en.wikipedia.org/wiki/Kingdom_Of_Qadesh,
kingdom of qatna,-1930,-1444,34.9,37.5,,,https://en.wikipedia.org/wiki/Kingdom_Of_Qatna,
kingdom of rome,-725,-510,42.5,15.0,,,https://en.wikipedia.org/wiki/Kingdom_Of_Rome,
kingdom of sam'al,-920,-605,37.5,37.5,,,https://en.wikipedia.org/wiki/Kingdom_Of_Sam'al,
kingdom of sindica,-480,-380,46.2,39.0,,,https://en.wikipedia.org/wiki/Kingdom_Of_Sindica,
kingdom of sparta,-778,-1,37.1,22.9,,,https://en.wikipedia.org/wiki/Kingdom_Of_Sparta,
kingdom of syracuse,-304,-263,38.0,15.9,,,https://en.wikipedia.org/wiki/Kingdom_Of_Syracuse,
kingdom of terqa,-1742,-1512,34.9,40.0,,,https://en.wikipedia.org/wiki/Kingdom_Of_Terqa,
kingdom of the grabaei,-429,-296,42.5,21.0,,,https://en.wikipedia.org/wiki/Kingdom_Of_The_Grabaei,
kingdom of tuttul,-2380,-2196,37.5,40.0,,,https://en.wikipedia.org/wiki/Kingdom_Of_Tuttul,
kingdom of tylis,-277,-1,42.5,27.0,,,https://en.wikipedia.org/wiki/Kingdom_Of_Tylis,
kingdom of ugarit,-2348,-2200,37.5,37.5,,,https://en.wikipedia.org/wiki/Kingdom_Of_Ugarit,
kingdom of ur,-2280,-2006,34.0,46.2,,,https://en.wikipedia.org/wiki/Kingdom_Of_Ur,
kingdom of uruk,-2334,-1810,33.1,44.5,,,https://en.wikipedia.org/wiki/Kingdom_Of_Uruk,
kingdom of zalpa,-1950,-1676,41.0,35.9,,,https://en.wikipedia.org/wiki/Kingdom_Of_Zalpa,
kios,-274,-1,42.5,27.0,https://www.worldhistory.org/Kios/,,https://en.wikipedia.org/wiki/Kios,
kirati,-610,-1,27.5,85.0,,,https://en.wikipedia.org/wiki/Kirati,
kiribati,1990,,-5.0,2.5,,,https://en.wikipedia.org/wiki/Kiribati,
kirruru,-735,-708,37.5,45.0,,,https://en.wikipedia.org/wiki/Kirruru,
kizzuwatna,-1511,-1420,37.5,35.0,,,https://en.wikipedia.org/wiki/Kizzuwatna,
koliya,-610,-480,27.5,82.5,,,https://en.wikipedia.org/wiki/Koliya,
konkana,-610,-1,17.5,72.5,,,https://en.wikipedia.org/wiki/Konkana,
kopai,-386,-379,37.5,22.5,,,https://en.wikipedia.org/wiki/Kopai,
koreans,-2400,-1,37.1,127.5,,,https://en.wikipedia.org/wiki/Koreans,
kosala,-950,-466,27.1,82.5,,,https://en.wikipedia.org/wiki/Kosala,
kotosh culture,-2300,-1199,-9.5,-77.5,,,https://en.wikipedia.org/wiki/Kotosh_Culture,
ksudrakas,-610,-326,32.5,72.5,,,https://en.wikipedia.org/wiki/Ksudrakas,
kuai,,,32.5,112.5,,,https://en.wikipedia.org/wiki/Kuai,
kui,-770,-634,32.5,112.5,https://www.worldhistory.org/Kui/,,https://en.wikipedia.org/wiki/Kui,
kuninda,-450,-322,32.5,77.5,,,https://en.wikipedia.org/wiki/Kuninda,
kuntala,-600,-300,17.5,77.5,,,https://en.wikipedia.org/wiki/Kuntala,
kunti,-610,-536,27.5,77.5,,,https://en.wikipedia.org/wiki/Kunti,
kunwu,-1750,-1604,37.5,112.5,,,https://en.wikipedia.org/wiki/Kunwu,
kuru,-1150,-500,29.9,76.1,,,https://en.wikipedia.org/wiki/Kuru,
kush tributary,-726,-680,32.1,32.4,,,https://en.wikipedia.org/wiki/Kush_Tributary,
kyme,-500,-422,42.5,15.0,,,https://en.wikipedia.org/wiki/Kyme,
kyrgyzstan,1990,,40.0,74.5,,,https://en.wikipedia.org/wiki/Kyrgyzstan,
lagash,-2397,-2352,32.5,46.7,https://www.worldhistory.org/Lagash/,,https://en.wikipedia.org/wiki/Lagash,
lai,-1040,-568,37.5,119.5,,,https://en.wikipedia.org/wiki/Lai,
lai(2),-770,-640,32.5,112.5,,,https://en.wikipedia.org/wiki/Lai(2),
laiyi,-770,-500,37.5,120.0,,,https://en.wikipedia.org/wiki/Laiyi,
land of bel-harran-beli-user,-754,-745,37.5,40.0,,,https://en.wikipedia.org/wiki/Land_Of_Bel-Harran-Beli-User,
land of shamash-resha-user,-754,-745,34.4,40.5,,,https://en.wikipedia.org/wiki/Land_Of_Shamash-Resha-User,
land of tartanu shamshi-ilu,-754,-745,37.5,37.5,,,https://en.wikipedia.org/wiki/Land_Of_Tartanu_Shamshi-Ilu,
laqe,-1080,-608,35.4,40.5,,,https://en.wikipedia.org/wiki/Laqe,
larak,-2395,-2284,32.5,44.5,,,https://en.wikipedia.org/wiki/Larak,
larissa,-406,-375,37.5,22.5,,,https://en.wikipedia.org/wiki/Larissa,
latin league,-730,-534,42.5,15.0,,,https://en.wikipedia.org/wiki/Latin_League,
latins,-800,-730,42.5,15.0,,,https://en.wikipedia.org/wiki/Latins,
lauhitya,-610,-1,27.5,92.5,,,https://en.wikipedia.org/wiki/Lauhitya,
league of argos,-422,-418,39.4,23.8,,,https://en.wikipedia.org/wiki/League_Of_Argos,
lebadeia,-386,-379,37.5,22.5,,,https://en.wikipedia.org/wiki/Lebadeia,
leichtenstein,1990,,47.5,9.0,,,https://en.wikipedia.org/wiki/Leichtenstein,
leontini,-466,-270,37.5,15.0,,,https://en.wikipedia.org/wiki/Leontini,
lesbos,-386,-1,37.5,27.5,https://www.worldhistory.org/lesbos/,,https://en.wikipedia.org/wiki/Lesbos,
lesotho,1990,,-30.0,27.5,,,https://en.wikipedia.org/wiki/Lesotho,
li,-770,-538,32.5,117.5,https://www.worldhistory.org/Li/,,https://en.wikipedia.org/wiki/Li,
li rong,-770,-672,37.5,112.5,,,https://en.wikipedia.org/wiki/Li_Rong,
li(2),-770,-664,37.5,112.5,https://www.worldhistory.org/Li(2)/,,https://en.wikipedia.org/wiki/Li(2),
li(3),-698,-680,32.5,112.5,https://www.worldhistory.org/Li(3)/,,https://en.wikipedia.org/wiki/Li(3),
liang,-771,-642,35.8,110.0,https://www.worldhistory.org/Liang/,,https://en.wikipedia.org/wiki/Liang,
liao,-770,-622,32.5,117.5,https://www.worldhistory.org/Liao/,,https://en.wikipedia.org/wiki/Liao,
liao(2),-770,-700,32.5,112.5,https://www.worldhistory.org/Liao(2)/,,https://en.wikipedia.org/wiki/Liao(2),
liberia,1990,,5.0,-10.0,,,https://en.wikipedia.org/wiki/Liberia,
liburnians,-1000,-1,42.5,15.1,,,https://en.wikipedia.org/wiki/Liburnians,
libyans,-2400,-1,31.6,23.8,,,https://en.wikipedia.org/wiki/Libyans,
libyphoenices,-500,-1,32.5,17.5,,,https://en.wikipedia.org/wiki/Libyphoenices,
ligurians,-800,-1,44.1,8.3,,,https://en.wikipedia.org/wiki/Ligurians,
lingzhi,-770,-662,40.1,117.2,,,https://en.wikipedia.org/wiki/Lingzhi,
linhu,-770,-1,40.1,109.0,,,https://en.wikipedia.org/wiki/Linhu,
little guo,-771,-688,32.5,107.5,,,https://en.wikipedia.org/wiki/Little_Guo,
liu,-770,-622,32.5,117.5,https://www.worldhistory.org/Liu/,,https://en.wikipedia.org/wiki/Liu,
locri,-346,-274,37.5,17.5,,,https://en.wikipedia.org/wiki/Locri,
longshan culture,-2400,-1900,36.7,112.5,https://www.worldhistory.org/Longshan_Culture/,,https://en.wikipedia.org/wiki/Longshan_Culture,
loufan,-770,-308,38.3,112.3,,,https://en.wikipedia.org/wiki/Loufan,
lower macedon,-454,-432,42.5,21.0,,,https://en.wikipedia.org/wiki/Lower_Macedon,
lu,-808,-562,35.7,117.5,https://www.worldhistory.org/Lu/,,https://en.wikipedia.org/wiki/Lu,
lu(2),-770,-688,32.5,112.5,https://www.worldhistory.org/Lu(2)/,,https://en.wikipedia.org/wiki/Lu(2),
lu(3),-770,-690,32.5,112.5,https://www.worldhistory.org/Lu(3)/,,https://en.wikipedia.org/wiki/Lu(3),
lucani,-500,-436,42.5,15.0,,,https://en.wikipedia.org/wiki/Lucani,
lucanians,-450,-268,39.3,16.6,,,https://en.wikipedia.org/wiki/Lucanians,
luhun rong,-771,-526,32.5,111.2,,,https://en.wikipedia.org/wiki/Luhun_Rong,
lukka,-1536,-1236,37.5,28.6,https://www.worldhistory.org/Lukka/,,https://en.wikipedia.org/wiki/Lukka,
lullubi,,,37.5,45.0,,,https://en.wikipedia.org/wiki/Lullubi,
lullubum,-2054,-2051,37.5,45.0,,,https://en.wikipedia.org/wiki/Lullubum,
luo,-770,-690,32.5,112.5,https://www.worldhistory.org/Luo/,,https://en.wikipedia.org/wiki/Luo,
luwians,-2023,-1000,38.6,30.1,,,https://en.wikipedia.org/wiki/Luwians,
lycians,-1000,-362,37.5,29.4,,,https://en.wikipedia.org/wiki/Lycians,
lydia,-850,-547,38.7,29.2,https://www.worldhistory.org/lydia/,,https://en.wikipedia.org/wiki/Lydia,
lydians,-1000,-850,37.5,27.5,,,https://en.wikipedia.org/wiki/Lydians,
lynkestis,-540,-392,42.5,21.0,https://www.worldhistory.org/Lynkestis/,,https://en.wikipedia.org/wiki/Lynkestis,
macedon,-281,-277,39.9,23.0,https://www.worldhistory.org/macedon/,,https://en.wikipedia.org/wiki/Macedon,
macedonia,1990,,42.5,21.0,https://www.worldhistory.org/Macedonia/,,https://en.wikipedia.org/wiki/Macedonia,
macedonian ally,-338,-322,37.9,26.3,,,https://en.wikipedia.org/wiki/Macedonian_Ally,
madra,-950,-326,32.5,75.0,,,https://en.wikipedia.org/wiki/Madra,
maeotians,-380,-326,44.9,39.0,,,https://en.wikipedia.org/wiki/Maeotians,
magadha,-775,-355,26.2,82.5,https://www.worldhistory.org/Magadha/,,https://en.wikipedia.org/wiki/Magadha,
magan,-2400,-1550,26.9,57.2,,,https://en.wikipedia.org/wiki/Magan,
magnesia,-650,-580,37.5,22.5,https://www.worldhistory.org/Magnesia/,,https://en.wikipedia.org/wiki/Magnesia,
malavas,-610,-326,32.5,72.5,,,https://en.wikipedia.org/wiki/Malavas,
malawi,1990,,-12.5,35.0,,,https://en.wikipedia.org/wiki/Malawi,
maldives,1990,,2.5,72.5,,,https://en.wikipedia.org/wiki/Maldives,
malis,-696,-371,37.5,22.5,,,https://en.wikipedia.org/wiki/Malis,
malla,-750,-364,27.5,84.2,https://www.worldhistory.org/Malla/,,https://en.wikipedia.org/wiki/Malla,
malta,1990,,37.5,12.5,https://www.worldhistory.org/Malta/,,https://en.wikipedia.org/wiki/Malta,
mama,-1850,-1644,37.5,37.5,,,https://en.wikipedia.org/wiki/Mama,
mamertine mercenaries,-289,-288,37.5,17.5,,,https://en.wikipedia.org/wiki/Mamertine_Mercenaries,
mamertines,-288,-263,37.5,16.1,,,https://en.wikipedia.org/wiki/Mamertines,
manchurian peoples,-2400,-1,47.1,127.5,,,https://en.wikipedia.org/wiki/Manchurian_Peoples,
mannaea,-843,-608,37.5,46.5,,,https://en.wikipedia.org/wiki/Mannaea,
manshi,-770,-492,32.5,112.5,,,https://en.wikipedia.org/wiki/Manshi,
mantineia,-418,-268,37.5,22.5,,,https://en.wikipedia.org/wiki/Mantineia,
mao,-771,-688,32.5,107.5,https://www.worldhistory.org/Mao/,,https://en.wikipedia.org/wiki/Mao,
mao(2),-770,-560,34.9,117.5,https://www.worldhistory.org/Mao(2)/,,https://en.wikipedia.org/wiki/Mao(2),
margiana,-330,-328,34.9,65.0,https://www.worldhistory.org/Margiana/,,https://en.wikipedia.org/wiki/Margiana,
marrucini,-438,-304,42.5,15.0,,,https://en.wikipedia.org/wiki/Marrucini,
marshall islands,1990,,7.5,167.5,,,https://en.wikipedia.org/wiki/Marshall_Islands,
marsi,-492,-304,42.5,15.0,https://www.worldhistory.org/Marsi/,,https://en.wikipedia.org/wiki/Marsi,
masa,-1536,-1228,39.0,31.0,https://www.worldhistory.org/Masa/,,https://en.wikipedia.org/wiki/Masa,
massagetai,-330,-1,42.5,62.9,,,https://en.wikipedia.org/wiki/Massagetai,
matsya,-925,-318,27.5,75.5,,,https://en.wikipedia.org/wiki/Matsya,
mauritania,1990,,20.0,-10.0,,,https://en.wikipedia.org/wiki/Mauritania,
mauritius,1990,,-17.5,60.0,https://www.worldhistory.org/Mauritius/,,https://en.wikipedia.org/wiki/Mauritius,
maurya,-324,-322,31.1,75.2,https://www.worldhistory.org/Maurya/,,https://en.wikipedia.org/wiki/Maurya,
maurya empire,-322,-1,23.7,81.4,https://www.worldhistory.org/Maurya_Empire/,,https://en.wikipedia.org/wiki/Maurya_Empire,
maya,-1000,-1,17.5,-89.7,https://www.worldhistory.org/Maya/,,https://en.wikipedia.org/wiki/Maya,
medes,-800,-674,35.2,50.1,https://www.worldhistory.org/Medes/,,https://en.wikipedia.org/wiki/Medes,
media,-713,-550,37.1,45.7,https://www.worldhistory.org/Media/,,https://en.wikipedia.org/wiki/Media,
median vassal,-586,-550,29.5,53.0,,,https://en.wikipedia.org/wiki/Median_Vassal,
megalopolis,-300,-272,37.5,22.5,https://www.worldhistory.org/Megalopolis/,,https://en.wikipedia.org/wiki/Megalopolis,
megaris,-744,-268,39.5,23.6,,,https://en.wikipedia.org/wiki/Megaris,
mercenaries of bithynia,,,42.5,30.0,,,https://en.wikipedia.org/wiki/Mercenaries_Of_Bithynia,
mercenaries under agathocles,-320,-316,37.5,15.3,,,https://en.wikipedia.org/wiki/Mercenaries_Under_Agathocles,
mercenaries under amyntas,,,30.0,35.0,,,https://en.wikipedia.org/wiki/Mercenaries_Under_Amyntas,
mercenaries under cleonymus,-303,-302,40.9,17.4,,,https://en.wikipedia.org/wiki/Mercenaries_Under_Cleonymus,
mercenaries under harpalus,,,37.5,27.5,,,https://en.wikipedia.org/wiki/Mercenaries_Under_Harpalus,
mercenaries under leosthenes,,,37.5,22.5,,,https://en.wikipedia.org/wiki/Mercenaries_Under_Leosthenes,
mercenaries under phalaecus,,,37.5,25.0,,,https://en.wikipedia.org/wiki/Mercenaries_Under_Phalaecus,
mercenaries under thibron,,,35.0,22.5,,,https://en.wikipedia.org/wiki/Mercenaries_Under_Thibron,
