Search Term,Date From,Date To,Center Lat,Center Lon,WHE 1,WHE 2,Wiki 1,Wiki 2
vietnam,1990,1990,16.0,106.0,https://www.worldhistory.org/Vietnam/,,https://en.wikipedia.org/wiki/Vietnam,
thailand,1990,1990,13.0,101.5,https://www.worldhistory.org/Thailand/,,https://en.wikipedia.org/wiki/Thailand,
myanmar,1990,1990,19.5,97.0,,,https://en.wikipedia.org/wiki/Myanmar,
burma,1990,1990,19.5,97.0,,,,
cambodia,1990,1990,12.5,105.0,https://www.worldhistory.org/Cambodia/,,https://en.wikipedia.org/wiki/Cambodia,
laos,1990,1990,18.0,104.0,https://www.worldhistory.org/Laos/,,https://en.wikipedia.org/wiki/Laos,
indonesia,1990,1990,-2.5,118.0,https://www.worldhistory.org/Indonesia/,,https://en.wikipedia.org/wiki/Indonesia,
malaysia,1990,1990,4.0,110.0,https://www.worldhistory.org/Malaysia/,,https://en.wikipedia.org/wiki/Malaysia,
philippines,1990,1990,12.5,121.5,https://www.worldhistory.org/Philippines/,,https://en.wikipedia.org/wiki/Philippines,
uzbekistan,1990,1990,41.5,65.0,https://www.worldhistory.org/Uzbekistan/,,https://en.wikipedia.org/wiki/Uzbekistan,
kazakhstan,1990,1990,48.0,68.5,https://www.worldhistory.org/Kazakhstan/,,https://en.wikipedia.org/wiki/Kazakhstan,
georgia,1990,1990,42.5,43.5,https://www.worldhistory.org/Georgia/,,https://en.wikipedia.org/wiki/Georgia_(country),
armenia,1990,1990,40.0,45.0,https://www.worldhistory.org/armenia/,,https://en.wikipedia.org/wiki/Armenia,
azerbaijan,1990,1990,40.0,47.5,https://www.worldhistory.org/Azerbaijan/,,https://en.wikipedia.org/wiki/Azerbaijan,
nepal,1990,1990,28.5,84.5,https://www.worldhistory.org/Nepal/,,https://en.wikipedia.org/wiki/Nepal,
bangladesh,1990,1990,23.5,90.5,https://www.worldhistory.org/Bangladesh/,,https://en.wikipedia.org/wiki/Bangladesh,
sri lanka,1990,1990,8.0,81.0,https://www.worldhistory.org/Sri_Lanka/,,https://en.wikipedia.org/wiki/Sri_Lanka,
ceylon,1990,1990,8.0,81.0,,,,
usa,1990,1990,37.0,-96.0,,,,
united states,1990,1990,37.0,-96.0,https://www.worldhistory.org/United_States/,,https://en.wikipedia.org/wiki/United_States,
us,1990,1990,37.0,-96.0,,,,
america,1990,1990,37.0,-96.0,,,,
canada,1990,1990,62.5,-96.5,https://www.worldhistory.org/Canada/,,https://en.wikipedia.org/wiki/Canada,
mexico,1990,1990,23.5,-102.5,https://www.worldhistory.org/Mexico/,,https://en.wikipedia.org/wiki/Mexico,
brazil,1990,1990,-14.0,-54.5,https://www.worldhistory.org/Brazil/,,https://en.wikipedia.org/wiki/Brazil,
argentina,1990,1990,-38.5,-63.5,https://www.worldhistory.org/Argentina/,,https://en.wikipedia.org/wiki/Argentina,
chile,1990,1990,-36.5,-71.0,https://www.worldhistory.org/Chile/,,https://en.wikipedia.org/wiki/Chile,
peru,1990,1990,-9.5,-75.0,https://www.worldhistory.org/Peru/,,https://en.wikipedia.org/wiki/Peru,
colombia,1990,1990,4.0,-72.5,https://www.worldhistory.org/Colombia/,,https://en.wikipedia.org/wiki/Colombia,
venezuela,1990,1990,6.5,-66.5,https://www.worldhistory.org/Venezuela/,,https://en.wikipedia.org/wiki/Venezuela,
cuba,1990,1990,21.5,-79.5,https://www.worldhistory.org/Cuba/,,https://en.wikipedia.org/wiki/Cuba,
(marhashi),-2286,-2006,28.0,55.5,,,https://en.wikipedia.org/wiki/Marhashi,
abhiras,-610,-318,27.5,72.5,,,https://en.wikipedia.org/wiki/Abhiras,
abilianikhi,-880,-592,42.5,45.0,,,https://en.wikipedia.org/wiki/Abilianikhi,
abisara,-338,-326,32.5,75.0,,,https://en.wikipedia.org/wiki/Abisara,
aboriginal peoples,-2400,-1,-12.8,128.4,,,https://en.wikipedia.org/wiki/Aboriginal_Peoples,
acarnania,-696,-1,37.5,22.5,,,https://en.wikipedia.org/wiki/Acarnania,
achaea,-720,-280,38.5,19.1,https://www.worldhistory.org/Achaea/,,https://en.wikipedia.org/wiki/Achaea,
achaean league,-280,-1,37.5,22.5,https://www.worldhistory.org/Achaean_League/,,https://en.wikipedia.org/wiki/Achaean_League,
achaeans,-1100,-720,39.3,22.0,,,https://en.wikipedia.org/wiki/Achaeans,
