Search Term,Date From,Date To,Center Lat,Center Lon
kingdom of the grabaei,-429,-296,42.5,21.0
kingdom of tuttul,-2400,-2196,37.5,40.0
kingdom of tylis,-277,-1,42.5,27.0
kingdom of ugarit,-2400,-1336,37.5,37.5
kingdom of ur,-2280,-2006,34.0,46.2
kingdom of uruk,-2400,-1810,33.1,44.5
kingdom of zalpa,-1950,-1676,41.0,35.9
kios,-274,-1,42.5,27.0
kirati,-610,-1,27.5,85.0
kiribati,1990,,-5.0,2.5
kirruru,-735,-708,37.5,45.0
kizzuwatna,-1515,-1420,37.5,35.0
koliya,-610,-480,27.5,82.5
konkana,-610,-1,17.5,72.5
kopai,-386,-379,37.5,22.5
koreans,-2400,-1,37.1,127.5
kosala,-950,-466,27.1,82.5
kotosh culture,-2300,-1199,-9.5,-77.5
ksudrakas,-610,-326,32.5,72.5
kuai,-770,-770,32.5,112.5
kui,-770,-634,32.5,112.5
kuninda,-450,-322,32.5,77.5
kuntala,-600,-300,17.5,77.5
kunti,-610,-536,27.5,77.5
kunwu,-1750,-1604,37.5,112.5
kuru,-1150,-500,29.9,76.1
kush tributary,-726,-668,32.1,32.4
kuwait,1990,,30.0,47.5
kyme,-500,-422,42.5,15.0
kyrgyzstan,1990,,40.0,74.5
lagash,-2400,-2352,32.5,46.7
lai,-1040,-568,37.5,119.5
lai(2),-770,-640,32.5,112.5
laiyi,-770,-500,37.5,120.0
land of bel-harran-beli-user,-754,-745,37.5,40.0
land of shamash-resha-user,-754,-745,34.4,40.5
land of tartanu shamshi-ilu,-754,-745,37.5,37.5
laos,1990,,17.5,105.0
laqe,-1080,-608,35.4,40.5
larak,-2395,-2284,32.5,44.5
larissa,-406,-345,37.5,22.5
latin league,-730,-534,42.5,15.0
latins,-800,-730,42.5,15.0
latvia,1990,,57.5,24.0
lauhitya,-610,-1,27.5,92.5
league of argos,-422,-418,39.4,23.8
lebadeia,-386,-379,37.5,22.5
lebanon,1990,,32.5,37.5
leichtenstein,1990,,47.5,9.0
leontini,-466,-270,37.5,15.0
lesbos,-386,-1,37.5,27.5
lesotho,1990,,-30.0,27.5
li,-770,-538,32.5,117.5
li rong,-770,-672,37.5,112.5
li(2),-770,-664,37.5,112.5
li(3),-698,-680,32.5,112.5
liang,-772,-642,35.8,110.0
liao,-770,-622,32.5,117.5
liao(2),-770,-700,32.5,112.5
liberia,1990,,5.0,-10.0
liburnians,-1000,-1,42.5,15.1
libya,1990,,25.0,17.5
libyans,-2400,-1,31.6,23.8
libyphoenices,-500,-1,32.5,17.5
ligurians,-800,-1,44.1,8.3
lingzhi,-770,-662,40.1,117.2
linhu,-770,-1,40.1,109.0
lithuania,1990,,55.0,24.0
little guo,-771,-688,32.5,107.5
liu,-770,-622,32.5,117.5
locri,-346,-274,37.5,17.5
longshan culture,-2400,-1900,36.7,112.5
loufan,-771,-308,38.3,112.3
lower macedon,-454,-432,42.5,21.0
lu,-808,-562,35.7,117.5
lu(2),-770,-688,32.5,112.5
lu(3),-770,-690,32.5,112.5
lucani,-500,-436,42.5,15.0
lucanians,-450,-268,39.3,16.6
luhun rong,-771,-526,32.5,111.2
