RefName,Lon,Lat,FromYear,ToYear
Anactorium,20.843498,38.920935,-654,530
Lefkada,20.713116,38.807342,-648,
Arta,20.990092,39.154924,-636,
Nafplio,22.808706,37.568123,-680,
Methoni,21.705878,36.81618,-1400,
Kalaureia,23.479167,37.518611,-675,-100
Ermione,23.243591,37.385218,-1120,
Epidavros,23.160156,37.633463,-900,
Prasiai,22.890275,37.144402,-850,550
Anthela,22.510613,38.800123,-750,
Marathon,23.979372,38.137916,-900,
Thyrea,22.733056,37.395,-850,550
Plataea,23.271847,38.21573,-1000,400
Khanea,24.01869,35.515775,-2400,
Hysiae,23.344419,38.217217,-750,100
Oenoe,23.448889,38.168056,-750,550
Thronion,22.725727,38.775841,-750,-30
Farsala,22.351389,39.31387,-750,
Pherae,22.753851,39.379043,-780,540
Larissa,22.42097,39.634851,-760,
Mantineia,22.392578,37.617379,-500,160
Halieis,23.144814,37.308292,-760,-310
Tanagra,23.581173,38.300198,-740,
Nefpaktos,21.831267,38.399726,-850,
Oeniadae,21.196384,38.407067,-870,50
Pegai,23.197116,38.084923,-790,800
Chaironeia,22.84143,38.493968,-1500,
Coronea,22.95711,38.3912,-800,
Amfilochia,21.24253,38.98962,-700,
Astakos,21.08725,38.54715,-550,
Cranium,20.5167,38.16783,-700,200
Kalabaka,21.36335,39.82819,-540,1600
Stratus,21.31787,38.67229,-680,-25
Pylos,21.65989,36.95203,-426,1281
Toroni,23.90445,39.97667,-720,
Heraklea/Trachis,22.44758,38.79204,-426,550
Patras,21.73852,38.24327,-1400,
Orchomenus (Arcadia),22.31536,37.72472,-426,550
Epidauros Limera,23.02637,36.7313,-731,545
Oropos,23.79,38.31946,-650,
Eleusis,23.5374,38.0411,-1000,396
Haliartos,23.0866,38.37832,-800,-171
Phlius,22.64917,37.84639,-1300,400
Oreus,23.09053,38.9466,-1300,150
Thespiae,23.15236,38.29453,-800,200
Livadeia,22.87496,38.43537,-750,
Phigaleia,21.83911,37.39629,-775,175
Heraea,21.86378,37.61346,-825,225
Megalopoli,22.1264,37.41427,-368,
Pellene,22.54834,38.04321,-1250,250
Krannon,22.30413,39.49911,-1250,250
Sellasia,22.4406,37.16927,-725,-222
Lasiona,21.74346,37.79803,-780,
Pagasai,22.9444,39.31084,-1300,600
Passaron,20.75239,39.73301,-410,300
Amfissa,22.37417,38.5184,-1400,
Elateia,22.77999,38.64563,-690,550
Phthiotic Thebes,22.76177,39.27339,-500,950
Lamia,22.44259,38.903,-600,
Alyzeia,20.94771,38.70891,-450,200
Kyllene,21.14387,37.93324,-900,300
Dyme,21.55143,38.14463,-600,200
Aigio,22.08195,38.25271,-950,
Igoumenitsa,20.26223,39.57066,-600,
Demetrias (Magnesia),22.92403,39.34348,-294,1000
Troizen,23.34849,37.50311,-900,
Gortyna,24.946943,35.062107,-1950,1000
Aptera,24.141397,35.462662,-1300,650
Polyrrhenia,23.656412,35.458635,-1100,700
Axos,24.844133,35.308042,-1150,
Rhamnous,24.026915,38.219286,-750,400
Marmara,25.489,35.3001,-2000,550
Zakros,26.2614,35.0981,-2000,-1450
Knossos,25.1631,35.2981,-2000,
Akrotiri,25.4036,36.3514,-2200,-1628
Troy,26.2389,39.9575,-2400,500
(Beycesultan),29.7,38.25,-2400,-1200
Cantaloyuk,29.661739,36.309428,-2000,
Tlos,29.4208,36.552536,-2400,1800
Patara,29.3145,36.2618,-1750,550
Pinara,29.252035,36.49381,-1700,850
Miletos,27.277706,37.521576,-2400,
Afsis,27.34551,37.94218,-2200,1480
Metropolis,27.3225,38.125,-2000,640
Pitane,26.937453,38.928297,-1600,640
Izmir,27.170278,38.464167,-1100,
Colophon,27.141667,38.108889,-1000,-310
Sart,28.040278,38.488333,-1450,
Litri,26.47994,38.382361,-1125,
Camirus,27.921195,36.336185,-1350,350
Lindos,28.088203,36.091221,-950,
Rhodos,28.15629,36.41451,-1150,
Priene,27.410278,37.750833,-1000,-665
Priene,27.3662,37.7059,-665,-500
Priene,27.246111,37.639167,-500,-350
Samsun Kale,27.298333,37.66,-350,1923
Myus,27.429444,37.595556,-975,-275
Teos,26.785397,38.185491,-1025,600
Clazomenae,26.77774,38.367858,-1050,1400
Foca,26.754884,38.670327,-900,
Lebedus,26.964722,38.077883,-1000,1000
Cyme (Aeolis),26.939218,38.760689,-1100,1500
Laris(s)a Phrikonis,27.033411,38.689068,-1200,200
Temnos,27.196998,38.671912,-950,60
Myrina,26.985537,38.840097,-1150,1000
Gryneium,27.069173,38.874665,-1075,150
Colophon ad Mare,27.200852,37.995278,-1125,-60
Aegae (Aeolis),27.19367,38.83379,-1075,500
Assos,26.338358,39.491111,-950,550
Methymna,26.176891,39.369167,-1130,
Mytilene,26.547048,39.110475,-975,
Chios,26.134234,38.37641,-1100,
Samos,26.944483,37.68825,-1030,
Maeandropolis,27.526039,37.850549,-1175,400
Panionium,27.280208,37.707373,-770,350
Iasos,27.585075,37.278837,-2400,1450
Manisa,27.487302,38.541317,-950,
Thera,25.477816,36.363374,-850,726
Bodrum,27.420201,37.042901,-900,
Cnidus,27.692613,36.733283,-950,-360
Sigeum,26.180869,39.983531,-650,-35
Xanthos,29.31836,36.355934,-710,1000
Antandros,26.791496,39.5785,-800,540
Kaunos,28.622085,36.825288,-950,1450
Pergamum,27.184167,39.1325,-750,1300
Lyktos,25.3682,35.2081,-1800,100
Atarneus,26.921325,39.091454,-850,-40
Edremit,26.936098,39.49864,-550,
Cnidus,27.372839,36.688179,-360,900
Tyatrra,27.836216,38.920152,-850,550
Itanus,26.262979,35.263259,-750,1450
Praisos,26.09054,35.123297,-1800,-140
Hierapytna,25.73875,35.009529,-1850,950
Olous,25.738816,35.257679,-1950,750
Antalya,33.70051,36.89379,-2400,
Tarsus,34.89263,36.91412,-2400,
Ullamma,33.83583,38.41139,-2400,-1646
Konya,32.50571,37.86757,-2400,
Purushanda,32.4482,37.8202,-2400,-1100
Mersin,34.6116,36.7953,-2400,
Kemenhisar,34.6079,37.8278,-2000,
Silifke,33.969124,36.584382,-1900,
Perge,30.853,36.96,-2000,1350
Hyde,33.517464,37.440842,-1800,640
Salaberina,34.034002,38.120083,-1700,640
Gordium,31.988313,39.651996,-2400,-30
Aksaray,34.028889,38.374167,-1000,
Phaselis,30.549049,36.522806,-698,1100
Nagidos,32.976596,36.100825,-668,-110
Aydincik,33.317412,36.143273,-664,
Side,31.394088,36.772309,-662,950
Pompeiopolis,34.539222,36.740056,-660,525
Holmi,33.880575,36.320374,-658,-210
Mut,33.433701,36.644396,-612,
Gazipasa,32.282734,36.258509,-1000,
Polis Chrysochou,32.436032,35.037245,-2400,
Soloi,32.81307,35.138224,-1300,660
